id,name,description,participants,looking_for,created_at,updated_at,volunteer_location,contact,highlight,progress,docs_and_demo,number_of_volunteers,accepting_volunteers,status,short_description,target_country,target_location,to_param,volunteered_users_count,project_type_list,skill_list,short_len
175,Eleutherios,"Eleutherios (https://eleutherios.org.nz) is a circular supply chain that lets people or businesses serve one another at scale via the internet. It does this by scaling or serializing the customers forum or request, so that one or more people, businesses or supply chains can serve the customer or in their forum at the same time.

# Problem

The current human supply chain is linear or tries to scale the service or work that people or businesses are trying to perform, not the forum, request or conversation that they are having. For example, if a person was hungry and had $10 to buy food, they might order online and spend $5 on a pizza, $2 on a drink and $3 to have the items delivered to their house.

In this scenario the person can only scale their request or conversation for food, three times. Once for pizza, a second time for a drink and a third time for a delivery service.

The problem is that the financial supply chain is the service that is doing the scaling of the request.

request = $5 (finance) for pizza (food)
request = $2 (finance) for drink (food)
request = $2 (finance) for delivery (logistic)

# Solution

Circularize or serialize the forum, request or conversation that people or businesses are having not the service or work that they are trying to perform.

By subscribing to the idea that service or work is constant, we can use that as the input for a computer or Turing machine to aggregate or output as a forum, request or conversation.

For example, if a person was hungry and isolated at home, they could register with Eleutherios and create a forum for some food. A food store owner could register as a service in the system and subscribe to the forum and ask the person what food they wanted? The food store owner could gather the food from their store and scale the forum by creating a sub-forum for a healthcare worker to help with the delivery of the food. The healthcare worker could scale the sub-forum again and create another sub-forum for a delivery service and accompany the delivery service and be the person that delivers the food to the isolated person.

In the above example, Eleutherios is scaling or delegating the responsibility for managing the forum or request to four different people, businesses or supply chains. The civilian, food, healthcare and logistics supply chain.

# Features

1. Forum in forum (sustainable/manageable).
2. Tags for filtering forums or services (searchable).
3. Alerts to keep users informed when new forums or services are created in the system (notifiable).
4. Blocking to prevent unwanted services or users from serving in forums they have been asked not to serve in or for requesting services, they have been asked not to request (accountable).
5. Service reviews (accountable)
6. B2B or shared processing (scalable)
7. AI (automatable)

Eleutherios is built with an HTML/javascript (Angular) frontend and node.js (nosql/firebase) backend. https://eleutherios.org.nz

Discuss or provide feedback. https://www.facebook.com/groups/2982366048442234/

Help fix bugs or resolve issues. https://github.com/aletheon/eleutherios-alpha/issues

Make a donation to the Eleutherios open source project. https://opencollective.com/eleutherios","Currently myself:

- design (E/R model, process model, user model, ux/ui design)
- development (coding)
- maintenance (testing)
- implementation (testing)
- planning

I've chosen javascript / typescript because it's non-proprietary and there is a larger community of people and plugins supporting that language.

I chose, firebase/firestore to use as the No-SQL data repository, because I needed a real-time data repository that I could subscribe to from the client.  Angular 8 is used along with RXJS to manage the real-time responses from the No-SQL backend.  And also, because Google is cheap to run servers.

With respect to the subscription model, I wanted the conversation to be in real-time, as if people we're physically in the same room together.  So if a forum  or service got deleted, then the people currently in that room should be removed from it.","https://github.com/aletheon/eleutherios-alpha/issues
  ",2020-03-19 19:02:19.706000-07:00,2020-05-21 02:54:57.156000-07:00,remote,rob.kara@gmail.com,False,"Eleutherios is currently a prototype, in which I am currently looking for customers such as SME's, NGO's, sole traders, individuals etc.","Prototype (alpha)
https://eleutherios.org.nz

Video demo (2 min)
https://www.youtube.com/watch?v=z4rvqIhufdw",1-10,True,In progress,Circular supply chain,Global,,175-eleutherios,2,"['Job placement', 'Help out communities', 'Map volunteers to needs', 'Reduce spread', 'Social giving', 'Scale testing']","['Software', 'Funding', 'Anything']",21
576,Stay Home Save Lives Challenge App,"In the U.S. it is up to each state to enforce a mandatory lockdown. It is proven that lockdowns will significantly ""flatten the curve,"" and save lives. We need to stop waiting on the government and OWN this responsibility. While people are ""staying inside,"" it is not enough. At the time of this writing on 4/12/2020 there are 1.8M cases, 113k deaths. The U.S. is the most alarming with 311k cases and 8500 deaths. We cannot WAIT for the government to take action, it is already too late. We need to build an app fast so that people take the pledge with us and join our movement. The app will use GPS to know if someone left their house or not. The idea is for each user to challenge themselves by staying in as long as they can. If they leave their home or a geofence, they are disqualified. Users will earn points by staying in everyday, and they can post to social media that they have ""Saved X Lives by Staying in for X Days."" Users will be able to set up groups and view leaderboards against their friends. They will also be able to set up ""Challenges"" similar to FitBit challenges. We will use gamification and incentivize users to almost NEVER leave their homes unless they desperately need to. We will get Companies to contribute and donate prizes. For example, if someone can complete 7 days of not leaving their home, they will earn a free 3-month subscription to Netflix. The second and third week of April is supposed to be the worst months. We have a limited window to build this and create something that may save the world. Join our movement as we are mobilized millions of people to take our challenge and pledge to stay home. *This app will be available for everyone in the world.*","Desi, Founder - Serial Entrepreneur
Justin, Cofounder - Serial Entrepreneur, Multiple App Creator, Developer","We are looking for the following talented and motivated people. Please remember that we are building something of great significance super fast. We are looking for highly dedicated volunteers who do not mind putting in a lot of hours to build this. We are looking for ~
UX Designers
UI Designers
Front End Developers
Back End Developers
Product Managers
Growth Hackers
SEO Specialists
Influencers
Ambassadors
Fundraisers",2020-04-05 00:03:30.775000-07:00,2020-04-12 14:12:31.716000-07:00,Remote,desijsaran@gmail.com,False,"We are wireframing and building out a prototype by Monday, April 13.","Yes, we are finishing up the prototype to launch in the Apple store week of 4/13/20. This may be one of the most important projects you ever work on.",10-50,True,In progress,Make Us All Safe Again,Global,Anyone in the World Can Help,576-stay-home-save-lives-challenge-app,22,"['E-Learning', 'Help out communities', 'Map volunteers to needs', 'Reduce spread', 'Social giving', 'Track the outbreak', 'News and information', 'Treatment R&D', 'Mental health', 'Other']","['Analytics', 'Content', 'Data entry', 'Design', 'Funding', 'Localization', 'Marketing', 'Operations', 'PM', 'Social Media', 'Software', 'Anything', 'QA', 'Volunteer vetting']",22
383,"Covid9teen.org (Updated: April 15, 2020)","tl;dr: 
SMS chatbot to prescreen potential covid-19 sufferers (based on existing protocols). Update: We shipped product in 3 days.

Join our Slack Group: 
https://join.slack.com/t/covid9teen/shared_invite/zt-czt2azr7-iYFqn_VZ39bydd1~SnSkVA

Problem:
Existing health services are overwhelmed by inquiries (web, phone, ER, etc). Many are false positives (feel sick, but not covid-19). This takes testing resources away from true positives (feel sick and positive for covid-19).

In British Columbia, Canada, our current health service provider takes about a day to reply from a human SMS operator. A chatbot is a practical application because the task is repetitive and follows a sequential set of rules.

Objective: 
Inform concerned citizens at scale and reduce the burden on healthcare professionals.

Solution (MVP):
Supplement human-operated SMS with a chatbot, which follows the same self-assessment protocol. In Canada, the self-assessment tool is near-identical across all provinces:  https://myhealth.alberta.ca/journey/covid-19/Pages/COVID-Self-Assessment.aspx

This SMS solution can be customized for your own regional health authorities. We are looking to expand to other communication channels (e.g. Whatsapp, messenger, Intercom, etc.)

Specifics:
User texts “I feel sick” to (587)210-2300. The ~8 question screening tool is based on Yes/No replies (boolean). 

To programmatically apply if/else statements, we're using Twilio Autopilot/functions. 

This is the abridged version of the ~8 question survey:
1. Are you experiencing severe difficult Breathing...Y/N
2. Are you experiencing shortness of breath...Y/N
3. Do you have any of the following: Fever, cough,...Y/N
4A. Were you exposed to someone who has been confirmed as having COVID-19 within 14 days of your symptoms starting? Y/N
5A. Did you travel outside Canada within 14 days of your symptoms starting? Y/N
6A. Have you been in close contact with someone with respiratory illness in the past 14 days? Y/N
7A. Had that person traveled outside of Canada within the past 28 days? Y/N
8A. In the past 14 days have you returned from travel to any other locations outside of Canada? Y/N

The current protocol has 3 possible outcomes: 
1. Forward to 911 (emergency services)
2. Forward to 811 (non emergency info line; your region may differ)
3. No testing required.

Deployment:
After building a proof of concept, share it and/or give it away to your local/regional authorities for free. We may request large organizations (e.g. government/corporations) to cover ongoing maintenance costs ($/SMS).

Update:
After 72 hours, we have launched the SMS - Congrats, team Covid9teen!

Product Development:
• Expand to other channels (e.g. Whatsapp, Messenger, intercom, etc)
• Shortcode SMS (e.g. Text ""I feel sick"" to 123123). Note: Applications for shortcode SMS take over a month for approval and costs >$1000. Source: https://www.twilio.com/shortcode/short-code-type
• Calculate the probability of a user having Covid-19 by taking the users input (e.g. symptoms, location, age, etc) and comparing it with known symptoms provided by the WHO. Source: https://www.youtube.com/watch?v=OOJqHPfG7pA

Benefits to you:
• Skills in chatbot development
• Product manage your own region
• Potential Machine learning applications
• Join the fight against Covid-19","Myself:
Machine Learning (MIT)
Economics (UWA)
Twilio developer (HTML/CSS/js/Python)","Looking to expand:
• Product (Whatsapp, Messenger, Voice, slack, website, etc)
• Geography (different states/provinces/countries)",2020-03-26 00:06:16.594000-07:00,2020-04-15 14:06:14.262000-07:00,Remote,oliver@covid9teen.org,False,"Within 72 hours, our International team launched the SMS service on March 29th. We're now live in Canada and Australia.","Text ""I feel sick"" to 587-210-2300",1-10,True,Launched,Text to Test for Covid19,Global,We partner with State/Provincial governments to supplement online self assessment tools,383-covid9teen-org-updated-april-15-2020,27,"['Track the outbreak', 'News and information', 'Scale testing']","['Design', 'Software', 'Content']",24
638,Srishti Juyal,Spread awareness through social networking sites.,i am the only one,any kind of idea like poems stories any motivating thing that can be used to spread awareness and create a very strong mental health for the people.,2020-04-10 07:37:13.511000-07:00,2020-04-10 07:37:13.511000-07:00,tehri uttarakhand,,False,i have an idea and content,yess,1-10,True,Just started,Spread awareness in India,IN,,638-srishti-juyal,8,['News and information'],"['Design', 'Volunteer vetting', 'QA', 'Software', 'Funding', 'Content', 'Biology', 'Anything', 'Social Media']",25
622,Shivansh Singh,"chat bot on COVID-19 Virus , made with the help of IBM cloud",indivisual project,,2020-04-08 22:34:30.669000-07:00,2020-04-08 22:34:30.669000-07:00,no,shivanshbhadouria7@gmail.com,False,The project is Complete,yes,,False,Launched,chat bot on COVID-19 Virus,IN,Ghaziabad,622-shivansh-singh,0,"['E-Learning', 'Reduce spread', 'Track the outbreak', 'News and information']",[],26
608,Harsh PV,"Its an app which tells you how safe you depending on various factor near your location like population density, number of cases,deaths, health care facilities near you, etc.",Just me,,2020-04-08 03:09:34.815000-07:00,2020-04-08 03:09:34.815000-07:00,remote,,False,Estimation calculation is done. the mobile app and deployment is pending,No,,False,In progress,A you safe enough estimator,,,608-harsh-pv,0,['Reduce spread'],[],27
267,COVID-19 projects aggregator 🦠 😷,"Hi, there are a lot of COVID-19 related projects that are developing in the whole world. But a lot of them are the same, and people spending time, don't know about a similar project in another country.
Now we are having a hackathon in Belarus, and people try to do similar projects that I see here.

We want to create one place where it will be information about projects on which people are working, their progress, problems, how to contact and join maybe.
It may dramatically improve speed of projects development and finally finished products for everyone of us.

Join our Slack – https://join.slack.com/t/covid19projec-kyi7956/shared_invite/zt-cu73cbib-9vahA~QqbceyxpDyXo8tCg",Everyone who want;),We will have a lot of tasks/development,2020-03-22 02:45:27.757000-07:00,2020-04-27 15:24:31.715000-07:00,Anywhere,https://join.slack.com/t/covid19projec-kyi7956/shared_invite/zt-cu73cbib-9vahA~QqbceyxpDyXo8tCg happylolonly@gmail.com,False,"https://covid19projects.now.sh – as the first step, we collected links of projects.","https://docs.google.com/document/d/1Kbj-i2zMABBzChXjAJwGKHXJ3s4qTxRN6_0gpNA24Ys/edit?usp=sharing

https://github.com/happylolonly/COVID-19-projects-aggregator
",10-50,True,Just started,Project aggregator COVID-19,Global,,267-covid-19-projects-aggregator,10,"['Help out communities', 'Map volunteers to needs', 'News and information', 'Other']","['PM', 'Medicine', 'Software', 'Funding', 'Content', 'Anything']",27
115,Childhood Cancer Directory,"Children going through cancer treatment have no immune system. They can quickly die from COVID-19. We have to protect them.

In this project, we will put together their contact information in a directory and assign medical students to check on them.

We will call them periodically, ask about their status, link them with resources, order them food, deliver them stuff, and do whatever we can.

This directory is a vital investment because it will become the national guard equivalent for kids with cancer.","Kate, CEO @ Guardiome

Kwat, MD-PhD candidate @ Stanford

Yaseen, Physician Assistant @ SCKEC

Ian, Software Developer @ Amazon

Mustafa, Software Developer @ UCSD

Sophie, MD-PhD candidate @ UNC

Alex, MD candidate @ Stanford","[DONE] 1. Complete web application.

[DONE] 2. Make a COVID-19 information sheet specific to children with cancer and their families (Receivers).

[DONE] 3. Sign up medical students (Givers).

[HAPPENING] 4. Send the website to the receivers (so they can sign up as Receivers).

[HAPPENING] 5. Send the website to the medical students (so they can sign up as Givers).

[HAPPENING] 6. Get feedback and update the platform.",2020-03-18 13:41:43.442000-07:00,2020-05-20 20:34:40.577000-07:00,Remote,team@guardiome.org,False,"[DONE] 1. Complete web application.

[DONE] 2. Make a COVID-19 information sheet specific to children with cancer and their families (Receivers).

[DONE] 3. Sign up medical students (Givers).

[HAPPENING] 4. Send the website to the receivers (so they can sign up as Receivers).

[HAPPENING] 5. Send the website to the medical students (so they can sign up as Givers).

[HAPPENING] 6. Get feedback and update the platform.",https://childhoodcancerdirectory.org,1-10,True,Launched,We support kids with cancer.,US,,115-childhood-cancer-directory,24,"['E-Learning', 'Help out communities', 'Map volunteers to needs', 'Reduce spread', 'News and information']","['Design', 'Community Outreach', 'Funding', 'Marketing', 'Social Media']",28
507,LabResult.org,"Many laboratory test centers from developing countries are still doing manual inputs in their lab test results. Thus, health records management is less efficient and secure. In addition, the patients at times have to go the test centers just to pick up results.

What if there is an available Laboratory Information System (LIS) that lab test centers can use for FREE that is secure and reliable? And their patients are able to check their results online without having to step out of the house?

LabResults.org addresses these pain points which will be both beneficial to the lab test centers and the patients. Faster results and less physical contacts would help in the fight against COVID-19.



","LabResult.org is a not-for-profit initiative to help in the fight against COVID-19 through the use of technology. This was started by a group of volunteers who have been working with healthcare tech startups building a healthcare platform since 2016. Thus, the Laboratory Information System is already built and just needs some modifications.
","1. Tech Developers : UX/UI adjustments (proficient in Javascript / Vue.js)
2. Creatives: UX/UI adjustments, graphic design`
3. Marketing: help disseminate the LabResult.org, content writing and the likes.
4. Researchers: find possible improvements, there may be different needs from other countries",2020-04-01 00:20:01.236000-07:00,2020-05-28 01:23:20.923000-07:00,remote,labresult.org@gmail.com,False,"The backend is already done. We are just doing some adjustments in the frontend.  Beta is actually now accessible at www.labresult.org. Of course, UX and UI can still be improved, and this is where LabResults.org would need your help.",You can see test the app at www.labresult.org. More updates will be pushed very soon.,10-50,False,Just started,laboratory information system,Global,,507-labresult-org,99,"['Help out communities', 'Reduce spread', 'Medical facilities', 'Other']","['Design', 'PM', 'Analytics', 'Software', 'Content', 'Marketing', 'Social Media']",29
759,Covid-19 Contact Tracing Test,Help support cities and counties with contact tracing,Cities and Counties nationwide,,2020-04-22 17:52:20.698000-07:00,2020-04-22 17:52:20.698000-07:00,,612 669 5398,False,Just getting started,yes ,,False,Just started,Covid-19 Contact Tracing Test,US,cities and counties nationwide,759-covid-19-contact-tracing-test,0,['Track the outbreak'],[],29
